customer_id,customer_name,segment,plan,csm,status,starting_mrr,mrr,expansion_mrr,contraction_mrr,contracted_seats,monthly_active_users,feature_adoption_pct,days_since_last_contact,open_tickets,csat_score,renewal_days,tenure_months,entry_date,cancellation_date,customer_type,accounts,onboarding_completed,onboarding_date
CUST-0027,Company 027,Mid-market,Growth,Ana Costa,Churned,1075,0,0,0,38,19,60.4,24,2,4.8,337,39,2025-01-28,2025-07-11,Partner,1,No,
CUST-0028,Company 028,SMB,Starter,Bruno Lima,Active,798,671,0,127,9,3,28.8,19,1,4.3,202,9,2024-08-13,,Individual,1,Yes,2024-08-28
CUST-0029,Company 029,SMB,Starter,Diego Alves,Active,835,835,0,0,17,8,56.3,59,5,3.7,145,21,2026-02-07,,Individual,1,Yes,2026-02-19
CUST-0030,Company 030,Mid-market,Growth,Diego Alves,Churned,1298,0,0,0,65,40,70.9,33,2,4.1,244,9,2026-06-01,2026-07-30,Individual,1,No,
CUST-0031,Company 031,Mid-market,Growth,Carla Souza,Churned,2841,0,0,0,95,62,71.2,29,0,4.5,284,13,2024-03-15,2024-08-29,Individual,1,No,
CUST-0032,Company 032,Enterprise,Scale,Carla Souza,Active,5023,5023,0,0,213,95,58.9,21,2,4.8,161,30,2025-09-26,,Individual,1,Yes,2025-10-18
CUST-0033,Company 033,SMB,Starter,Carla Souza,Active,520,520,0,0,10,8,87.4,11,4,5.0,182,15,2024-10-23,,Multi-account,5,Yes,2024-10-28
CUST-0034,Company 034,SMB,Starter,Bruno Lima,Active,659,659,0,0,5,3,53.8,29,1,4.5,85,14,2024-02-11,,Individual,1,Yes,2024-03-08
CUST-0035,Company 035,Mid-market,Growth,Bruno Lima,Active,2771,2771,0,0,20,11,66.1,25,2,4.1,317,48,2026-03-25,,Partner,1,Yes,2026-04-22
CUST-0036,Company 036,SMB,Starter,Carla Souza,Active,824,824,0,0,12,6,62.6,14,0,4.0,318,10,2024-02-24,,Individual,1,Yes,2024-03-13
CUST-0037,Company 037,SMB,Starter,Diego Alves,Active,326,326,0,0,23,16,72.0,13,1,4.7,69,10,2024-06-30,,Partner,1,Yes,2024-07-18
CUST-0038,Company 038,Mid-market,Growth,Bruno Lima,Active,1410,1410,0,0,61,37,51.4,16,1,3.7,131,45,2024-01-23,,Partner,1,Yes,2024-02-14
CUST-0039,Company 039,SMB,Starter,Carla Souza,Active,468,468,0,0,22,13,82.6,13,4,4.2,104,27,2025-02-20,,Individual,1,Yes,2025-02-28
CUST-0040,Company 040,Mid-market,Growth,Bruno Lima,Active,1706,1987,281,0,28,21,85.3,14,2,4.5,338,4,2025-06-13,,Partner,1,Yes,2025-07-06
CUST-0041,Company 041,Mid-market,Growth,Bruno Lima,Active,3494,3796,302,0,27,21,85.0,24,5,5.0,30,21,2024-10-10,,Multi-account,2,Yes,2024-10-19
CUST-0042,Company 042,Enterprise,Scale,Bruno Lima,Active,10107,11560,1453,0,346,253,100.0,26,3,4.6,81,28,2024-03-04,,Partner,1,Yes,2024-03-25
CUST-0043,Company 043,Mid-market,Growth,Ana Costa,Churned,1733,0,0,0,28,11,21.8,30,3,3.0,120,13,2024-04-12,2025-07-22,Individual,1,No,
CUST-0044,Company 044,SMB,Starter,Bruno Lima,Active,883,883,0,0,6,3,46.6,26,4,4.4,208,27,2026-04-04,,Individual,1,Yes,2026-04-15
CUST-0045,Company 045,Enterprise,Scale,Carla Souza,Active,7744,9572,1828,0,209,188,94.4,27,3,4.4,96,32,2025-12-12,,Partner,1,Yes,2026-01-04
CUST-0046,Company 046,Mid-market,Growth,Carla Souza,Active,2201,2201,0,0,93,58,60.9,11,3,4.2,199,13,2026-04-07,,Individual,1,Yes,2026-05-02
CUST-0047,Company 047,SMB,Starter,Diego Alves,Active,560,560,0,0,18,14,78.6,25,2,4.4,275,40,2025-04-13,,Partner,1,Yes,2025-04-21
CUST-0048,Company 048,SMB,Starter,Ana Costa,Active,386,386,0,0,6,3,57.6,45,3,4.3,304,23,2025-04-27,,Individual,1,Yes,2025-05-17
CUST-0049,Company 049,Mid-market,Growth,Diego Alves,Churned,3329,0,0,0,86,41,53.4,25,3,4.3,42,47,2025-11-25,2026-08-01,Partner,1,No,
CUST-0050,Company 050,SMB,Starter,Diego Alves,Active,308,308,0,0,21,14,83.7,42,0,3.7,56,6,2025-06-28,,Individual,1,Yes,2025-07-14
CUST-0051,Company 051,SMB,Starter,Bruno Lima,Active,404,404,0,0,21,15,80.4,21,2,4.2,41,17,2025-01-20,,Individual,1,No,
CUST-0052,Company 052,SMB,Starter,Bruno Lima,Active,437,437,0,0,23,12,59.0,35,3,4.4,333,35,2024-09-14,,VIP,1,No,
CUST-0053,Company 053,Mid-market,Growth,Bruno Lima,Active,1626,1626,0,0,39,27,62.0,29,5,4.1,241,44,2025-03-04,,Multi-account,7,No,
CUST-0054,Company 054,Mid-market,Growth,Carla Souza,Active,1242,1242,0,0,98,64,74.0,11,0,3.9,197,12,2024-02-26,,Multi-account,2,Yes,2024-03-08
CUST-0055,Company 055,Mid-market,Growth,Diego Alves,Active,946,946,0,0,45,28,39.4,17,2,4.4,290,48,2024-06-18,,VIP,1,No,
CUST-0056,Company 056,Mid-market,Growth,Carla Souza,Churned,2661,0,0,0,84,44,66.9,51,1,4.7,217,11,2025-10-13,2026-08-01,Individual,1,Yes,2025-11-01
CUST-0057,Company 057,Mid-market,Growth,Carla Souza,Active,3420,3420,0,0,66,43,85.0,34,0,4.5,91,21,2026-02-05,,Individual,1,Yes,2026-03-07
CUST-0058,Company 058,Mid-market,Growth,Carla Souza,Active,1216,1291,75,0,82,71,76.3,17,1,4.0,190,16,2024-03-30,,Individual,1,Yes,2024-04-02
CUST-0059,Company 059,SMB,Starter,Ana Costa,Active,477,477,0,0,17,9,60.3,22,2,4.5,259,21,2024-03-26,,Individual,1,Yes,2024-04-24
CUST-0060,Company 060,SMB,Starter,Carla Souza,Active,603,652,49,0,17,11,71.2,13,1,4.0,19,44,2024-03-16,,Individual,1,Yes,2024-04-11
CUST-0061,Company 061,Mid-market,Growth,Ana Costa,Active,3311,3311,0,0,69,28,42.2,33,3,4.1,224,36,2025-11-29,,VIP,1,Yes,2025-12-16
CUST-0062,Company 062,Mid-market,Growth,Diego Alves,Churned,2705,0,0,0,82,34,46.0,22,0,3.6,185,39,2024-10-01,2025-01-03,Individual,1,Yes,2024-10-21
CUST-0063,Company 063,Mid-market,Growth,Diego Alves,Active,2892,2495,0,397,79,19,5.4,30,3,3.1,31,13,2024-10-15,,Individual,1,Yes,2024-10-28
CUST-0064,Company 064,Mid-market,Growth,Carla Souza,Active,2410,2679,269,0,30,20,88.3,14,2,4.4,101,46,2024-01-12,,Individual,1,No,
CUST-0065,Company 065,Mid-market,Growth,Bruno Lima,Churned,1984,0,0,0,86,47,62.2,38,0,4.0,168,22,2026-05-08,2026-08-01,Individual,1,Yes,2026-05-14
CUST-0066,Company 066,Mid-market,Growth,Carla Souza,Churned,1419,0,0,0,62,34,50.8,26,2,3.8,130,32,2025-01-18,2025-05-09,Individual,1,Yes,2025-02-06
CUST-0067,Company 067,Mid-market,Growth,Carla Souza,Active,3147,3147,0,0,45,17,23.0,31,3,4.1,111,34,2025-12-05,,Agency,1,Yes,2025-12-30
CUST-0068,Company 068,SMB,Starter,Carla Souza,Active,782,782,0,0,15,7,53.4,15,4,4.1,240,33,2025-09-16,,Individual,1,Yes,2025-09-25
CUST-0069,Company 069,SMB,Starter,Carla Souza,Active,315,315,0,0,24,15,72.8,19,2,4.6,152,30,2024-05-05,,Agency,1,Yes,2024-05-28
CUST-0070,Company 070,Mid-market,Growth,Ana Costa,Active,2760,3438,678,0,88,75,57.0,23,2,4.7,185,24,2025-12-08,,Multi-account,7,Yes,2025-12-31
CUST-0071,Company 071,SMB,Starter,Ana Costa,Active,350,350,0,0,21,11,53.0,14,2,3.9,293,32,2025-04-30,,Agency,1,Yes,2025-05-24
CUST-0072,Company 072,SMB,Starter,Bruno Lima,Active,743,743,0,0,14,11,66.7,19,2,4.2,40,44,2025-06-17,,Agency,1,Yes,2025-06-29
CUST-0073,Company 073,Enterprise,Scale,Carla Souza,Active,10520,9643,0,877,330,77,35.8,33,3,3.0,136,20,2024-06-25,,Individual,1,No,
CUST-0074,Company 074,SMB,Starter,Bruno Lima,Churned,378,0,0,0,12,7,60.6,13,0,4.4,33,26,2026-01-17,2026-06-25,Individual,1,Yes,2026-01-30
CUST-0075,Company 075,SMB,Starter,Carla Souza,Active,560,560,0,0,18,10,58.1,43,3,4.0,339,10,2026-04-02,,Individual,1,No,
CUST-0076,Company 076,SMB,Starter,Bruno Lima,Active,374,353,0,21,17,2,24.1,40,5,2.6,73,18,2024-12-24,,VIP,1,Yes,2025-01-07
CUST-0077,Company 077,SMB,Starter,Diego Alves,Active,640,640,0,0,9,4,68.4,26,4,3.8,301,38,2024-03-22,,Agency,1,No,
CUST-0078,Company 078,Mid-market,Growth,Bruno Lima,Active,3311,3311,0,0,41,17,43.4,22,3,3.6,75,32,2026-01-19,,Individual,1,Yes,2026-02-14
CUST-0079,Company 079,Mid-market,Growth,Diego Alves,Active,1110,1110,0,0,24,15,65.3,12,0,4.8,123,11,2026-02-22,,Individual,1,Yes,2026-03-22
CUST-0080,Company 080,Mid-market,Growth,Bruno Lima,Active,1933,2060,127,0,31,24,71.0,35,1,4.0,225,27,2025-03-23,,Multi-account,3,Yes,2025-04-06
CUST-0081,Company 081,Mid-market,Growth,Bruno Lima,Active,3430,4116,686,0,54,46,100.0,13,1,4.3,305,40,2025-05-26,,Agency,1,Yes,2025-06-25
CUST-0082,Company 082,SMB,Starter,Carla Souza,Churned,480,0,0,0,14,6,48.7,15,2,4.5,70,7,2024-07-15,2025-10-23,Agency,1,No,
CUST-0083,Company 083,Mid-market,Growth,Bruno Lima,Active,1243,1243,0,0,33,14,47.3,20,3,4.5,83,4,2024-02-29,,Multi-account,4,Yes,2024-03-18
CUST-0084,Company 084,SMB,Starter,Ana Costa,Active,593,713,120,0,13,11,83.5,26,2,4.3,323,20,2026-04-13,,Agency,1,Yes,2026-04-26
CUST-0085,Company 085,SMB,Starter,Bruno Lima,Active,605,605,0,0,17,6,28.7,33,2,3.6,122,32,2025-03-02,,Agency,1,Yes,2025-03-05
CUST-0086,Company 086,SMB,Starter,Diego Alves,Active,697,697,0,0,9,4,60.1,16,1,4.4,82,16,2024-08-30,,Individual,1,Yes,2024-09-19
CUST-0087,Company 087,Mid-market,Growth,Ana Costa,Active,1715,2043,328,0,47,33,92.0,38,2,3.8,273,40,2025-09-04,,Individual,1,No,
CUST-0088,Company 088,Mid-market,Growth,Bruno Lima,Active,3384,4194,810,0,49,33,83.1,9,6,3.9,39,41,2024-01-24,,VIP,1,Yes,2024-02-14
CUST-0089,Company 089,SMB,Starter,Carla Souza,Active,612,612,0,0,15,8,40.9,50,2,4.0,318,27,2024-03-11,,Agency,1,Yes,2024-04-10
CUST-0090,Company 090,Mid-market,Growth,Carla Souza,Active,1644,1833,189,0,49,42,92.7,20,0,5.0,321,19,2024-08-02,,Individual,1,Yes,2024-08-25
CUST-0091,Company 091,SMB,Starter,Bruno Lima,Churned,876,0,0,0,19,7,42.9,27,1,3.6,314,3,2025-02-01,2025-09-05,Agency,1,Yes,2025-02-04
CUST-0092,Company 092,Mid-market,Growth,Ana Costa,Active,3304,2812,0,492,46,13,18.5,29,2,3.8,113,40,2024-11-19,,Individual,1,No,
CUST-0093,Company 093,Mid-market,Growth,Ana Costa,Active,2197,2197,0,0,54,31,48.4,27,1,4.5,48,44,2024-06-14,,Multi-account,5,Yes,2024-07-02
CUST-0094,Company 094,SMB,Starter,Bruno Lima,Active,314,359,45,0,12,9,90.3,28,1,5.0,159,22,2024-11-06,,Individual,1,Yes,2024-11-29
CUST-0095,Company 095,SMB,Starter,Diego Alves,Active,658,766,108,0,8,6,90.6,5,1,4.5,127,26,2024-10-21,,Partner,1,Yes,2024-11-06
CUST-0096,Company 096,Mid-market,Growth,Ana Costa,Active,2343,2343,0,0,74,49,67.3,17,2,4.2,351,37,2025-04-08,,Individual,1,Yes,2025-04-23
CUST-0097,Company 097,SMB,Starter,Diego Alves,Active,388,388,0,0,9,4,64.8,29,1,4.6,233,34,2025-05-11,,Individual,1,No,
CUST-0098,Company 098,SMB,Starter,Carla Souza,Churned,680,0,0,0,10,9,90.0,39,0,4.1,346,8,2026-02-18,2026-08-01,Individual,1,No,
CUST-0099,Company 099,SMB,Starter,Ana Costa,Churned,804,0,0,0,20,10,68.7,43,4,4.6,276,33,2025-12-13,2026-08-01,Multi-account,5,Yes,2026-01-07
CUST-0100,Company 100,Enterprise,Scale,Bruno Lima,Active,4400,4400,0,0,383,190,81.7,55,4,3.8,263,45,2024-09-15,,Individual,1,Yes,2024-10-05
CUST-0101,Company 101,Enterprise,Scale,Ana Costa,Active,9648,9047,0,601,294,80,25.5,51,6,3.6,47,37,2026-03-08,,Individual,1,Yes,2026-03-30
CUST-0102,Company 102,Mid-market,Growth,Diego Alves,Active,1264,1264,0,0,93,41,43.2,20,2,3.9,31,24,2025-04-04,,Partner,1,Yes,2025-04-19
CUST-0103,Company 103,SMB,Starter,Carla Souza,Active,749,796,47,0,22,19,89.4,20,1,4.3,23,26,2024-06-14,,Individual,1,Yes,2024-06-24
CUST-0104,Company 104,Enterprise,Scale,Bruno Lima,Active,7062,7773,711,0,233,185,86.2,38,4,4.2,220,14,2024-10-27,,Individual,1,Yes,2024-11-13
CUST-0105,Company 105,Mid-market,Growth,Bruno Lima,Active,916,1003,87,0,81,70,85.7,34,1,4.8,79,33,2025-10-16,,Individual,1,Yes,2025-11-14
CUST-0106,Company 106,Mid-market,Growth,Carla Souza,Active,3412,3412,0,0,46,26,45.5,25,0,4.4,362,13,2025-12-26,,Multi-account,6,Yes,2026-01-14
CUST-0107,Company 107,Mid-market,Growth,Ana Costa,Active,1331,1331,0,0,56,39,89.8,31,2,4.3,54,18,2024-11-26,,Individual,1,Yes,2024-12-18
CUST-0108,Company 108,SMB,Starter,Bruno Lima,Active,657,771,114,0,15,10,89.3,15,2,4.7,346,14,2024-05-19,,Individual,1,Yes,2024-05-25
CUST-0109,Company 109,SMB,Starter,Ana Costa,Active,408,428,20,0,24,15,71.7,9,2,4.7,246,17,2024-06-18,,Individual,1,Yes,2024-07-18
CUST-0110,Company 110,Enterprise,Scale,Carla Souza,Active,11430,12422,992,0,351,286,91.6,19,2,4.3,45,19,2024-04-01,,Individual,1,Yes,2024-04-10
CUST-0111,Company 111,Mid-market,Growth,Carla Souza,Active,2819,2819,0,0,59,37,66.8,22,1,4.6,27,5,2025-09-08,,Individual,1,Yes,2025-10-08
CUST-0112,Company 112,SMB,Starter,Bruno Lima,Active,782,880,98,0,18,12,79.2,15,2,4.9,149,35,2025-03-20,,Individual,1,Yes,2025-04-04
CUST-0113,Company 113,SMB,Starter,Ana Costa,Active,559,690,131,0,9,6,88.5,28,3,5.0,128,22,2025-02-02,,Individual,1,Yes,2025-03-02
CUST-0114,Company 114,Mid-market,Growth,Bruno Lima,Active,2115,2115,0,0,84,41,36.0,26,3,3.8,120,46,2025-08-16,,Individual,1,Yes,2025-09-12
CUST-0115,Company 115,SMB,Starter,Diego Alves,Churned,680,0,0,0,16,4,28.2,40,3,3.4,196,10,2026-01-01,2026-08-01,Multi-account,4,Yes,2026-01-25
CUST-0116,Company 116,Enterprise,Scale,Ana Costa,Active,10170,12203,2033,0,250,209,100.0,31,1,4.9,53,33,2025-12-03,,Individual,1,Yes,2025-12-31
CUST-0117,Company 117,Mid-market,Growth,Ana Costa,Churned,3102,0,0,0,81,37,55.0,78,2,4.3,53,10,2024-05-01,2025-01-20,Individual,1,Yes,2024-05-21
CUST-0118,Company 118,Mid-market,Growth,Ana Costa,Active,946,946,0,0,70,43,66.6,22,2,4.2,256,27,2025-06-04,,Multi-account,7,Yes,2025-06-30
CUST-0119,Company 119,Mid-market,Growth,Diego Alves,Active,2625,2625,0,0,25,14,55.0,45,2,4.0,362,25,2026-02-18,,Multi-account,4,Yes,2026-02-25
CUST-0120,Company 120,Mid-market,Growth,Ana Costa,Active,1183,1183,0,0,43,25,61.7,28,2,4.5,105,23,2025-11-14,,Agency,1,Yes,2025-11-18
CUST-0121,Company 121,Mid-market,Growth,Carla Souza,Churned,1648,0,0,0,34,25,74.4,26,1,4.2,341,32,2024-10-17,2025-09-21,Individual,1,Yes,2024-11-04
CUST-0122,Company 122,Mid-market,Growth,Diego Alves,Active,3056,3750,694,0,78,67,82.6,19,3,4.5,130,40,2024-12-12,,Individual,1,No,
CUST-0123,Company 123,SMB,Starter,Carla Souza,Active,450,450,0,0,5,1,56.1,31,2,4.0,127,16,2026-02-25,,Individual,1,Yes,2026-03-22
CUST-0124,Company 124,SMB,Starter,Bruno Lima,Churned,778,0,0,0,9,6,70.7,17,3,5.0,39,41,2024-01-30,2024-07-23,Individual,1,Yes,2024-02-23
CUST-0125,Company 125,SMB,Starter,Ana Costa,Churned,577,0,0,0,16,8,70.1,41,3,4.0,158,10,2025-04-08,2026-06-03,Individual,1,No,
CUST-0126,Company 126,Mid-market,Growth,Ana Costa,Churned,1504,0,0,0,75,47,55.5,19,2,3.5,185,15,2024-04-12,2024-08-27,Agency,1,No,
CUST-0127,Company 127,SMB,Starter,Ana Costa,Active,500,574,74,0,15,11,83.3,9,2,3.9,245,16,2026-02-28,,Individual,1,Yes,2026-03-17
CUST-0128,Company 128,SMB,Starter,Diego Alves,Active,618,725,107,0,22,17,82.7,12,1,4.3,63,46,2024-02-04,,Agency,1,Yes,2024-02-21
CUST-0129,Company 129,SMB,Starter,Ana Costa,Active,759,759,0,0,23,11,58.9,22,0,3.5,74,7,2024-01-21,,Individual,1,Yes,2024-02-10
CUST-0130,Company 130,Mid-market,Growth,Ana Costa,Active,2475,2475,0,0,30,18,75.3,19,3,4.2,162,20,2024-10-17,,Individual,1,Yes,2024-11-13
CUST-0131,Company 131,SMB,Starter,Diego Alves,Churned,859,0,0,0,24,12,62.5,26,4,3.7,32,21,2024-06-25,2024-09-28,Partner,1,No,
CUST-0132,Company 132,Enterprise,Scale,Bruno Lima,Active,10875,12718,1843,0,276,242,67.8,15,2,4.3,58,39,2025-03-13,,Multi-account,6,Yes,2025-04-08
CUST-0133,Company 133,Mid-market,Growth,Bruno Lima,Active,2858,2858,0,0,70,30,61.3,26,0,3.8,232,24,2024-09-21,,Individual,1,Yes,2024-09-27
CUST-0134,Company 134,SMB,Starter,Carla Souza,Active,661,726,65,0,6,4,98.4,12,1,4.7,349,47,2024-11-10,,Agency,1,Yes,2024-11-29
CUST-0135,Company 135,Mid-market,Growth,Carla Souza,Active,1653,1653,0,0,69,45,53.4,30,1,4.8,212,36,2025-05-13,,Individual,1,Yes,2025-05-26
CUST-0136,Company 136,SMB,Starter,Diego Alves,Active,547,615,68,0,19,13,84.8,69,1,4.9,59,35,2025-05-10,,Individual,1,Yes,2025-06-04
CUST-0137,Company 137,Enterprise,Scale,Bruno Lima,Active,4510,3959,0,551,265,85,35.3,35,4,3.7,362,37,2026-04-05,,Partner,1,Yes,2026-04-22
CUST-0138,Company 138,Mid-market,Growth,Carla Souza,Churned,1872,0,0,0,26,9,46.1,25,5,3.7,194,9,2025-02-28,2026-04-23,Individual,1,No,
CUST-0139,Company 139,Mid-market,Growth,Diego Alves,Active,3308,3308,0,0,61,33,68.2,9,4,4.1,264,23,2025-05-13,,Individual,1,Yes,2025-06-12
CUST-0140,Company 140,SMB,Starter,Bruno Lima,Churned,555,0,0,0,23,9,51.8,64,1,4.1,77,29,2025-08-21,2026-03-16,Individual,1,Yes,2025-09-05
CUST-0141,Company 141,Mid-market,Growth,Bruno Lima,Active,1195,1195,0,0,77,51,86.0,26,5,4.6,214,11,2024-06-02,,Individual,1,Yes,2024-06-24
CUST-0142,Company 142,Mid-market,Growth,Diego Alves,Churned,2595,0,0,0,30,15,73.3,23,3,3.9,34,7,2025-08-11,2026-08-01,Individual,1,No,
CUST-0143,Company 143,Enterprise,Scale,Ana Costa,Active,11682,14518,2836,0,387,256,53.1,6,1,4.5,231,8,2026-01-31,,Individual,1,Yes,2026-02-06
CUST-0144,Company 144,Mid-market,Growth,Ana Costa,Active,3155,3155,0,0,96,58,54.7,25,3,3.4,79,39,2024-10-07,,VIP,1,Yes,2024-11-05
CUST-0145,Company 145,Mid-market,Growth,Carla Souza,Active,1612,1612,0,0,33,18,60.4,27,2,4.3,333,32,2024-06-06,,Agency,1,Yes,2024-06-13
CUST-0146,Company 146,SMB,Starter,Diego Alves,Active,572,572,0,0,21,11,44.5,20,0,4.5,26,15,2024-11-01,,Individual,1,No,
CUST-0147,Company 147,SMB,Starter,Ana Costa,Active,618,618,0,0,13,7,68.0,13,3,4.2,241,36,2024-08-30,,Individual,1,Yes,2024-09-12
CUST-0148,Company 148,Mid-market,Growth,Diego Alves,Active,1544,1544,0,0,67,38,74.6,13,4,4.9,57,34,2025-05-31,,Agency,1,Yes,2025-06-26
CUST-0149,Company 149,Mid-market,Growth,Diego Alves,Churned,1598,0,0,0,55,35,63.5,59,0,4.1,253,40,2026-02-01,2026-04-01,Individual,1,No,
CUST-0150,Company 150,SMB,Starter,Diego Alves,Active,441,387,0,54,20,6,38.1,33,1,3.8,184,44,2025-06-10,,Individual,1,Yes,2025-07-10
CUST-0151,Company 151,Enterprise,Scale,Bruno Lima,Active,11953,11953,0,0,398,208,52.7,20,0,4.2,354,43,2024-04-20,,Partner,1,Yes,2024-05-06
CUST-0152,Company 152,Enterprise,Scale,Bruno Lima,Active,9841,9841,0,0,334,228,58.2,25,5,4.2,241,10,2024-10-04,,Individual,1,Yes,2024-10-20
CUST-0153,Company 153,SMB,Starter,Carla Souza,Active,804,862,58,0,23,22,100.0,18,1,4.7,140,38,2025-08-31,,Individual,1,Yes,2025-09-04
CUST-0154,Company 154,Mid-market,Growth,Ana Costa,Active,3023,3572,549,0,95,64,76.7,8,4,4.6,38,20,2024-10-18,,Individual,1,Yes,2024-11-17
CUST-0155,Company 155,SMB,Starter,Diego Alves,Active,875,875,0,0,6,3,64.3,40,1,4.5,220,20,2025-06-01,,Individual,1,Yes,2025-06-04
CUST-0156,Company 156,Mid-market,Growth,Carla Souza,Active,1173,1410,237,0,40,30,73.7,16,1,5.0,165,32,2025-09-04,,Individual,1,Yes,2025-09-07
CUST-0157,Company 157,SMB,Starter,Bruno Lima,Active,828,828,0,0,19,13,86.8,25,2,4.4,25,30,2024-10-17,,Multi-account,2,Yes,2024-11-02
CUST-0158,Company 158,Mid-market,Growth,Carla Souza,Active,1073,1170,97,0,67,44,84.6,47,1,4.8,215,21,2025-07-25,,Individual,1,Yes,2025-07-28
CUST-0159,Company 159,Mid-market,Growth,Carla Souza,Active,2136,2436,300,0,24,21,81.9,9,0,4.4,82,48,2024-12-17,,Agency,1,Yes,2024-12-24
CUST-0160,Company 160,Mid-market,Growth,Carla Souza,Active,2445,2834,389,0,27,25,97.4,10,1,5.0,91,10,2024-04-29,,Agency,1,Yes,2024-05-19
